,_startDate,_endDate,_value
95949,2020-05-22 05:20:00 +0200,2020-05-22 08:53:11 +0200,HKCategoryValueSleepAnalysisInBed
95950,2020-05-23 05:20:00 +0200,2020-05-23 09:21:45 +0200,HKCategoryValueSleepAnalysisInBed
95951,2020-05-23 09:22:00 +0200,2020-05-23 09:24:45 +0200,HKCategoryValueSleepAnalysisInBed
95952,2020-05-24 05:20:00 +0200,2020-05-24 08:36:48 +0200,HKCategoryValueSleepAnalysisInBed
95953,2020-05-25 05:20:00 +0200,2020-05-25 10:04:32 +0200,HKCategoryValueSleepAnalysisInBed
95954,2020-05-26 05:20:00 +0200,2020-05-26 10:33:41 +0200,HKCategoryValueSleepAnalysisInBed
95955,2020-05-26 10:33:43 +0200,2020-05-26 10:33:43 +0200,HKCategoryValueSleepAnalysisInBed
95956,2020-05-27 05:20:00 +0200,2020-05-27 08:39:29 +0200,HKCategoryValueSleepAnalysisInBed
95957,2020-05-28 05:20:00 +0200,2020-05-28 08:35:03 +0200,HKCategoryValueSleepAnalysisInBed
95958,2020-06-03 05:20:00 +0200,2020-06-03 09:00:52 +0200,HKCategoryValueSleepAnalysisInBed
95959,2020-06-04 05:20:00 +0200,2020-06-04 09:00:55 +0200,HKCategoryValueSleepAnalysisInBed
95960,2020-06-07 01:45:27 +0200,2020-06-07 10:45:44 +0200,HKCategoryValueSleepAnalysisInBed
95961,2020-06-07 10:47:25 +0200,2020-06-07 10:47:26 +0200,HKCategoryValueSleepAnalysisInBed
95962,2020-06-07 10:53:20 +0200,2020-06-07 10:53:21 +0200,HKCategoryValueSleepAnalysisInBed
95963,2020-06-07 11:01:41 +0200,2020-06-07 11:02:30 +0200,HKCategoryValueSleepAnalysisInBed
95964,2020-06-08 01:30:00 +0200,2020-06-08 09:52:58 +0200,HKCategoryValueSleepAnalysisInBed
95965,2020-06-08 09:53:01 +0200,2020-06-08 09:53:10 +0200,HKCategoryValueSleepAnalysisInBed
95966,2020-06-08 09:56:23 +0200,2020-06-08 10:13:43 +0200,HKCategoryValueSleepAnalysisInBed
95967,2020-06-08 10:14:13 +0200,2020-06-08 11:45:00 +0200,HKCategoryValueSleepAnalysisInBed
95968,2020-06-09 02:51:20 +0200,2020-06-09 11:00:06 +0200,HKCategoryValueSleepAnalysisInBed
95969,2020-06-10 01:31:44 +0200,2020-06-10 10:31:44 +0200,HKCategoryValueSleepAnalysisInBed
95970,2020-06-10 10:32:38 +0200,2020-06-10 10:33:36 +0200,HKCategoryValueSleepAnalysisInBed
95971,2020-06-10 10:35:10 +0200,2020-06-10 10:35:46 +0200,HKCategoryValueSleepAnalysisInBed
95972,2020-06-10 10:35:49 +0200,2020-06-10 10:36:09 +0200,HKCategoryValueSleepAnalysisInBed
