"Time","lat","long","alt","alt_WGS84","speed","dir","dist","horizontal_acc","vertical_acc","sattelites"
1.149959095E2,5.234397179E1,4.868101057E0,-1.458044170E0,4.125543274E1,5.798665596E0,3.483707221E2,7.359951144E-1,4.792923419E0,4.792923419E0,-1.000000000E0
1.159959021E2,5.234402918E1,4.868080308E0,-1.738807255E0,4.097460081E1,5.697574804E0,3.481164596E2,7.432155328E-1,4.790620024E0,4.790620024E0,-1.000000000E0
1.169958928E2,5.234409191E1,4.868052861E0,-2.331874327E0,4.038146123E1,5.868230169E0,3.450826718E2,7.508220621E-1,4.783187800E0,4.783187800E0,-1.000000000E0
1.179958851E2,5.234415881E1,4.868029484E0,-1.469363699E0,4.124389114E1,5.678608316E0,3.445456881E2,7.571680552E-1,4.769886174E0,4.769886174E0,-1.000000000E0
1.189958779E2,5.234421531E1,4.868016268E0,-9.211046882E-1,4.179207825E1,5.123350441E0,3.480086601E2,7.659905979E-1,4.766714187E0,4.766714187E0,-1.000000000E0
1.199958688E2,5.234429414E1,4.868001497E0,-5.832692618E-1,4.212981124E1,6.102168130E0,3.503129425E2,7.720386961E-1,4.756663751E0,4.756663751E0,-1.000000000E0
1.209958622E2,5.234434841E1,4.867995635E0,-7.172136381E-1,4.199579386E1,5.787818608E0,3.533405005E2,7.783208607E-1,4.756675623E0,4.756675623E0,-1.000000000E0
1.219958534E2,5.234440368E1,4.867976431E0,-6.277544750E-1,4.208518629E1,5.839627484E0,3.505012279E2,7.849871460E-1,4.763014393E0,4.763014393E0,-1.000000000E0
1.229958465E2,5.234446285E1,4.867960653E0,-1.946773129E-1,4.251818925E1,5.944075107E0,3.502512837E2,7.912353350E-1,4.750786031E0,4.750786031E0,-1.000000000E0
1.239958380E2,5.234451806E1,4.867943524E0,-5.065914802E-1,4.220620724E1,5.767901277E0,3.472379765E2,7.978246568E-1,4.752841659E0,4.752841659E0,-1.000000000E0
1.249958303E2,5.234457695E1,4.867932810E0,-1.180767420E0,4.153195458E1,5.959280451E0,3.516021783E2,8.053116624E-1,4.754141051E0,4.754141051E0,-1.000000000E0
1.259958227E2,5.234463999E1,4.867894086E0,-1.235250812E0,4.147740473E1,6.514559940E0,3.445219560E2,8.103175684E-1,4.755862810E0,4.755862810E0,-1.000000000E0
1.269958147E2,5.234468405E1,4.867878916E0,-2.790709694E0,3.992189257E1,5.418174994E0,3.438110417E2,8.157149751E-1,4.749752994E0,4.749752994E0,-1.000000000E0
1.279958068E2,5.234473173E1,4.867864075E0,-2.304184902E0,4.040835879E1,4.994387147E0,3.461257284E2,8.240988765E-1,4.764242925E0,4.764242925E0,-1.000000000E0
1.289957991E2,5.234480660E1,4.867849440E0,-2.127278523E0,4.058516824E1,6.158590738E0,3.520041505E2,8.310526495E-1,4.768017754E0,4.768017754E0,-1.000000000E0
1.299957913E2,5.234486672E1,4.867821282E0,-1.413091663E0,4.129928667E1,6.218384462E0,3.503232091E2,8.369233938E-1,4.795492587E0,4.795492587E0,-1.000000000E0
1.309957845E2,5.234491357E1,4.867781431E0,-1.899299375E0,4.081303593E1,5.777200547E0,3.445117284E2,8.431692299E-1,4.838662694E0,4.838662694E0,-1.000000000E0
1.319957764E2,5.234496690E1,4.867752527E0,-1.500416222E0,4.121186066E1,5.675330559E0,3.449105485E2,8.514180945E-1,4.882800753E0,4.882800753E0,-1.000000000E0
1.329975567E2,5.234503957E1,4.867728170E0,-1.509653559E0,4.120253506E1,6.093976648E0,3.473662251E2,8.578457294E-1,4.877674520E0,4.877674520E0,-1.000000000E0
1.339975489E2,5.234509248E1,4.867690068E0,-1.543172746E0,4.116896331E1,5.786531141E0,3.462087318E2,8.642673437E-1,4.908872663E0,4.908872663E0,-1.000000000E0
1.349975709E2,5.234514606E1,4.867654785E0,-3.714781459E-1,4.234060279E1,5.415584708E0,3.450119693E2,8.712575020E-1,4.924874607E0,4.924874607E0,-1.000000000E0
1.359975557E2,5.234520502E1,4.867619083E0,-3.500688933E-1,4.236194960E1,5.477233990E0,3.453679390E2,8.777477818E-1,4.935569694E0,4.935569694E0,-1.000000000E0
1.369975688E2,5.234526074E1,4.867590651E0,8.545621913E-1,4.356651861E1,5.279130791E0,3.458917609E2,8.841585613E-1,4.963272662E0,4.963272662E0,-1.000000000E0
1.379975477E2,5.234531359E1,4.867552940E0,9.844099963E-1,4.369631372E1,5.410180813E0,3.433117321E2,8.916119685E-1,4.982625593E0,4.982625593E0,-1.000000000E0
1.389975569E2,5.234537700E1,4.867517344E0,9.744104547E-1,4.368624541E1,5.974649277E0,3.439885710E2,8.985030073E-1,5.016812100E0,5.016812100E0,-1.000000000E0
1.399975318E2,5.234543357E1,4.867475919E0,6.461712504E-1,4.335795041E1,6.134976799E0,3.420029657E2,9.022672887E-1,5.056730604E0,5.056730604E0,-1.000000000E0
1.409975373E2,5.234546684E1,4.867465661E0,6.753900778E-1,4.338712833E1,4.782424333E0,3.460032783E2,9.083662135E-1,5.048055923E0,5.048055923E0,-1.000000000E0
1.419975122E2,5.234551762E1,4.867431731E0,5.617374824E-1,4.327342378E1,4.600861767E0,3.466353806E2,9.163583323E-1,5.034177424E0,5.034177424E0,-1.000000000E0
1.429975165E2,5.234558324E1,4.867383717E0,1.973293228E-1,4.290895088E1,4.823797188E0,3.435298073E2,9.243528147E-1,5.017090616E0,5.017090616E0,-1.000000000E0
1.439974886E2,5.234564997E1,4.867339931E0,3.415320599E-1,4.305308488E1,4.894370653E0,3.431141824E2,9.330278044E-1,4.992829605E0,4.992829605E0,-1.000000000E0
1.449974914E2,5.234572397E1,4.867299500E0,5.429858519E-1,4.325445778E1,5.211175158E0,3.431710829E2,9.395213202E-1,4.966961802E0,4.966961802E0,-1.000000000E0
1.459974653E2,5.234578064E1,4.867276358E0,5.913289869E-1,4.330273450E1,5.038628381E0,3.487559371E2,9.444222580E-1,4.956210462E0,4.956210462E0,-1.000000000E0
1.469971501E2,5.234582054E1,4.867245720E0,-5.411910396E-1,4.217017593E1,4.074143810E0,3.463130509E2,9.501300307E-1,4.935025215E0,4.935025215E0,-1.000000000E0
1.479971204E2,5.234586811E1,4.867214148E0,-4.465201981E-1,4.226479799E1,3.718450717E0,3.440615569E2,9.585668847E-1,4.925004455E0,4.925004455E0,-1.000000000E0
1.489971253E2,5.234594016E1,4.867175229E0,4.002323300E-1,4.311147150E1,4.756221059E0,3.464547840E2,9.632033426E-1,4.906336671E0,4.906336671E0,-1.000000000E0
