Time,x,y,z,abs
4.131479125E0,-6.871088147E-1,-1.483939886E0,1.589354277E0,2.280404158E0
4.141454125E0,-7.004181743E-1,-9.754031301E-1,1.709369659E0,2.089004911E0
4.151429125E0,-7.843772769E-1,-9.102888107E-1,1.851362705E0,2.207128745E0
4.161403125E0,-9.668655992E-1,-1.108292699E0,2.019868612E0,2.498601810E0
4.171378125E0,-1.327656031E0,-1.188662410E0,2.159815788E0,2.800070195E0
4.181353125E0,-1.740003228E0,-1.040485263E0,2.172377348E0,2.971438062E0
4.191328125E0,-2.197509050E0,-6.304502487E-1,2.124230862E0,3.120716311E0
4.201303125E0,-2.768715620E0,-1.250823438E-1,2.228451490E0,3.556322233E0
4.211277125E0,-3.447538853E0,6.391060948E-1,2.507760525E0,4.310782248E0
4.221252125E0,-4.226155281E0,6.523463130E-1,2.757039785E0,5.087947774E0
4.231227125E0,-4.521331787E0,4.294932783E-1,2.708907366E0,5.288202409E0
4.241202125E0,-4.266056061E0,2.409299314E-1,2.419812918E0,4.910476158E0
4.251176125E0,-3.435338020E0,1.868620049E-3,1.998173118E0,3.974197606E0
4.261151125E0,-2.253439665E0,4.522978514E-2,1.675034642E0,2.808162586E0
4.271126125E0,-1.492279887E0,5.711433291E-1,1.779427886E0,2.391540835E0
4.281101125E0,-1.326218963E0,1.198411942E0,1.842612863E0,2.567152134E0
4.291076125E0,-1.552059054E0,1.393838406E0,1.863977075E0,2.797513779E0
4.301050125E0,-1.980066776E0,1.315147281E0,2.057180882E0,3.143607798E0
4.311025125E0,-2.208638430E0,1.242632270E0,2.361291409E0,3.463800772E0
4.321000125E0,-2.075347424E0,1.272738814E0,2.628610134E0,3.582809269E0
4.330975125E0,-1.778971553E0,1.271431684E0,2.728078842E0,3.496239763E0
4.340950125E0,-1.577786803E0,1.422698379E0,2.829411268E0,3.538226957E0
4.350924125E0,-1.729224205E0,2.151724577E0,3.235761404E0,4.253267787E0
4.360899125E0,-2.099254847E0,2.557362080E0,3.427906513E0,4.764190884E0
4.370874125E0,-2.344208241E0,2.407813311E0,2.749795675E0,4.342148485E0
4.380849125E0,-2.358198643E0,2.166682243E0,2.063263178E0,3.809549543E0
4.390824125E0,-2.390879869E0,1.508806229E0,1.466926813E0,3.185070966E0
4.400798125E0,-2.308126926E0,7.273801565E-1,9.920399189E-1,2.615468410E0
4.410773125E0,-2.117797375E0,1.943460405E-1,6.566019654E-1,2.225749816E0
4.420748125E0,-2.017312050E0,2.694001198E-1,5.591221452E-1,2.110625951E0
4.430723125E0,-2.090259314E0,4.109114707E-1,6.651105881E-1,2.231681951E0
4.440698125E0,-2.260207176E0,6.057775617E-1,8.259186745E-1,2.481460173E0
4.450672125E0,-2.484320402E0,8.715397120E-1,1.041885018E0,2.831422561E0
4.460647125E0,-2.793603897E0,1.181930184E0,1.267933726E0,3.287679672E0
4.470622125E0,-3.105536938E0,1.545458078E0,1.464976192E0,3.765495397E0
4.480597125E0,-3.456254482E0,1.861883879E0,1.674700856E0,4.268129518E0
4.490572125E0,-3.722369432E0,2.118475199E0,1.778558850E0,4.637590209E0
4.500546208E0,-3.793320894E0,2.279398918E0,1.765784383E0,4.764759944E0
4.510521208E0,-3.744754076E0,2.276595116E0,1.732065320E0,4.712336860E0
4.520496208E0,-3.680239201E0,2.231390715E0,1.689787865E0,4.623705021E0
4.530471208E0,-3.632485390E0,2.086341858E0,1.611200333E0,4.488177689E0
4.540445208E0,-3.558051825E0,1.867245913E0,1.552312255E0,4.307669140E0
4.550420208E0,-3.552302122E0,1.704899907E0,1.454732180E0,4.200211873E0
4.560395208E0,-3.503630638E0,1.586183429E0,1.401165962E0,4.093247069E0
4.570370208E0,-3.472303391E0,1.478572607E0,1.383618355E0,4.019635250E0
4.580345208E0,-3.387918234E0,1.629436731E0,1.430714607E0,4.022436862E0
4.590319208E0,-3.235390902E0,1.987993836E0,1.452835560E0,4.065784665E0
4.600294208E0,-3.080975056E0,2.622016430E0,1.424168825E0,4.289013208E0
4.610269208E0,-2.849395037E0,3.152208567E0,1.387199044E0,4.469876073E0
4.620244208E0,-2.681955814E0,3.462944269E0,1.441504478E0,4.611160934E0
4.630219208E0,-2.583130836E0,3.811980963E0,1.554709315E0,4.860132183E0
4.640193208E0,-2.708549738E0,4.797069073E0,1.470684171E0,5.701844026E0
4.650168208E0,-2.507254839E0,4.820812225E0,1.371126771E0,5.604154348E0
4.660143208E0,-2.475930452E0,4.485074043E0,1.473028898E0,5.330659895E0
4.670118208E0,-2.398601294E0,4.300747871E0,1.412796974E0,5.123057262E0
4.680093208E0,-2.243887186E0,4.230215549E0,1.521726370E0,5.024480515E0
4.690067208E0,-2.437579155E0,3.616802216E0,1.424088240E0,4.588145346E0
4.700042208E0,-2.655108452E0,2.275876284E0,1.047820210E0,3.650635690E0
4.710017208E0,-2.390789986E0,1.378432631E0,9.309307933E-1,2.912487840E0
4.719992208E0,-2.056705475E0,7.703424096E-1,9.381024241E-1,2.388200368E0
4.729967208E0,-1.892024636E0,2.206893712E-1,9.735893011E-1,2.139237516E0
4.739941208E0,-1.705808043E0,-2.642797828E-1,1.093207836E0,2.043215177E0
4.749916208E0,-1.427606583E0,-5.165885091E-1,1.163488150E0,1.912754275E0
4.759891208E0,-1.280782580E0,-5.061667562E-1,1.145862579E0,1.791538404E0
4.769866208E0,-1.212065101E0,-4.772083163E-1,1.212548614E0,1.779635841E0
4.779841208E0,-1.067920089E0,-4.971554279E-1,1.354072213E0,1.794750232E0
4.789815208E0,-9.899532795E-1,-3.472098708E-1,1.440496325E0,1.782019039E0
4.799790208E0,-1.012398601E0,-6.642568111E-2,1.445950866E0,1.766391011E0
4.809765208E0,-1.122178674E0,2.231486142E-1,1.417739987E0,1.821830659E0
4.819740208E0,-1.399583220E0,6.269427538E-1,1.435970068E0,2.100928472E0
4.829715208E0,-1.385352015E0,4.930885136E-1,1.288796067E0,1.955334189E0
4.839689208E0,-1.262589097E0,2.054385096E-1,1.229893327E0,1.774534814E0
4.849664208E0,-1.231736302E0,1.469730586E-1,1.144853234E0,1.688035641E0
4.859639208E0,-1.242422462E0,2.717667222E-1,1.008588552E0,1.623182551E0
4.869614208E0,-1.283418655E0,6.255439520E-1,9.181074500E-1,1.697465749E0
4.879589208E0,-1.228946447E0,1.097489834E0,7.969284058E-1,1.830269977E0
4.889563208E0,-1.182160020E0,1.663018823E0,6.221104860E-1,2.133109321E0
4.899538208E0,-1.275222659E0,2.175193071E0,5.856681466E-1,2.588564256E0
4.909513208E0,-1.373657942E0,2.489611626E0,7.020314932E-1,2.928813822E0
4.919488208E0,-1.452458620E0,2.728349447E0,8.906448483E-1,3.216640327E0
4.929462208E0,-1.624915123E0,2.745734692E0,1.055223584E0,3.360491774E0
4.939437208E0,-1.926949024E0,2.443860292E0,1.001420021E0,3.269316095E0
4.949412208E0,-2.111319304E0,2.129079342E0,9.576743841E-1,3.147663939E0
4.959387208E0,-2.279705286E0,1.892240644E0,9.652214646E-1,3.115972291E0
