"Time (s)","Peak-Frequency"
3.801147563E1,1.406250000E2
3.807553996E1,4.453125000E2
3.813635654E1,1.171875000E2
3.820306513E1,1.171875000E2
3.826326029E1,1.171875000E2
3.833145575E1,1.406250000E2
3.839207113E1,1.406250000E2
3.845909338E1,1.406250000E2
3.851964867E1,5.390625000E2
3.858654054E1,5.390625000E2
3.864878783E1,9.375000000E1
3.871552946E1,9.375000000E1
3.877954808E1,7.031250000E1
3.884350233E1,4.687500000E1
3.890747175E1,4.687500000E1
3.896977567E1,1.406250000E2
3.903284958E1,1.171875000E2
3.909951425E1,1.171875000E2
3.916352392E1,4.687500000E1
3.922750475E1,7.031250000E1
3.928915017E1,7.031250000E1
3.935313646E1,1.406250000E2
3.941890329E1,1.406250000E2
3.948159342E1,1.171875000E2
3.954747279E1,4.687500000E1
3.961151363E1,4.687500000E1
3.967541762E1,4.687500000E1
3.973641842E1,9.375000000E1
3.980287588E1,9.375000000E1
3.986708567E1,4.687500000E1
3.993146100E1,2.343750000E1
3.999548996E1,2.343750000E1
4.005859429E1,4.687500000E1
4.011981679E1,4.687500000E1
4.018645346E1,4.687500000E1
4.025133979E1,4.687500000E1
4.031152688E1,1.171875000E2
4.041597583E1,1.171875000E2
4.046436229E1,9.375000000E1
4.052899121E1,1.171875000E2
4.059278838E1,1.171875000E2
4.065315708E1,1.171875000E2
4.071969092E1,1.171875000E2
4.078445821E1,6.093750000E2
4.084889150E1,9.375000000E1
4.091290167E1,9.375000000E1
4.097640804E1,2.812500000E2
4.104085663E1,4.921875000E2
4.110312779E1,4.921875000E2
4.116864396E1,1.406250000E2
4.123286338E1,4.218750000E2
4.129692592E1,4.218750000E2
4.136091837E1,7.031250000E1
4.142442717E1,9.375000000E1
4.148649671E1,9.375000000E1
4.155292162E1,1.171875000E2
4.161680429E1,1.171875000E2
4.168081804E1,9.375000000E1
4.174227204E1,9.375000000E1
4.180615313E1,9.375000000E1
4.186985083E1,7.031250000E1
4.193649313E1,5.859375000E2
4.200056271E1,5.859375000E2
4.206490892E1,9.375000000E1
4.212879667E1,1.640625000E2
4.219280063E1,1.640625000E2
4.225603554E1,1.640625000E2
4.231985621E1,1.640625000E2
4.238421171E1,7.031250000E1
4.244892317E1,1.171875000E2
4.251275879E1,1.171875000E2
4.257271392E1,1.406250000E2
4.263938971E1,1.406250000E2
4.270324842E1,1.406250000E2
4.276773521E1,1.406250000E2
4.283062663E1,9.375000000E1
4.289551292E1,9.375000000E1
4.296045733E1,1.171875000E2
4.302284421E1,1.406250000E2
4.308662263E1,1.406250000E2
4.315222171E1,2.109375000E2
4.321630696E1,2.109375000E2
4.327731004E1,7.031250000E1
4.334242083E1,1.406250000E2
4.340829417E1,1.406250000E2
4.347006600E1,3.046875000E2
4.353645138E1,4.687500000E2
4.359719946E1,4.687500000E2
4.366443437E1,9.375000000E1
4.372889646E1,5.156250000E2
4.379292104E1,5.156250000E2
4.385339071E1,5.156250000E2
4.391989946E1,5.156250000E2
4.398416679E1,1.640625000E2
4.404530325E1,5.390625000E2
4.411292350E1,5.390625000E2
4.417574842E1,1.406250000E2
4.423764604E1,9.375000000E1
4.430327925E1,9.375000000E1
4.436516846E1,4.453125000E2
4.443105163E1,5.156250000E2
4.449643783E1,5.156250000E2
4.455682992E1,1.171875000E2
4.462326550E1,9.375000000E1
4.468669367E1,9.375000000E1
4.475221517E1,3.515625000E2
4.481660975E1,3.515625000E2
4.487990996E1,9.375000000E1
4.494023692E1,7.031250000E1
4.500692500E1,7.031250000E1
4.507002679E1,9.375000000E1
4.513282437E1,3.750000000E2
4.519645800E1,3.750000000E2
4.526247679E1,1.406250000E2
4.532595929E1,7.031250000E1
4.538870113E1,7.031250000E1
4.545338838E1,7.031250000E1
4.551997258E1,7.031250000E1
4.558391804E1,7.031250000E1
4.606033917E1,4.218750000E2
4.612457500E1,4.218750000E2
4.618911637E1,2.812500000E2
4.625349071E1,7.031250000E1
4.631971454E1,7.031250000E1
4.638366042E1,1.640625000E2
4.644750933E1,5.156250000E2
4.651152062E1,5.156250000E2
4.657234692E1,3.750000000E2
4.663895412E1,1.171875000E2
4.669888575E1,1.171875000E2
4.676760417E1,9.375000000E1
4.682810421E1,1.875000000E2
4.689326125E1,1.875000000E2
4.695580650E1,9.375000000E1
4.702244717E1,9.375000000E1
4.708388912E1,9.375000000E1
4.714987029E1,1.171875000E2
4.721522375E1,1.171875000E2
4.727753521E1,4.687500000E1
4.733915775E1,1.171875000E2
4.740587917E1,1.171875000E2
4.747078675E1,1.171875000E2
