"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.120312500E4,1.653956299E-2
1.122656250E4,9.781257248E-3
1.125000000E4,1.749308063E-2
1.127343750E4,1.233641989E-2
1.129687500E4,1.112638904E-2
1.132031250E4,2.156613138E-2
1.134375000E4,2.321914577E-2
1.136718750E4,2.081475451E-2
1.139062500E4,1.369769043E-2
1.141406250E4,1.552902353E-2
1.143750000E4,4.146572741E-3
1.146093750E4,2.902945312E-3
1.148437500E4,2.108384573E-2
1.150781250E4,1.106457000E-2
1.153125000E4,8.659999738E-3
1.155468750E4,1.131543194E-2
1.157812500E4,1.908713418E-2
1.160156250E4,1.175935719E-2
1.162500000E4,2.188294064E-2
1.164843750E4,6.924723751E-3
1.167187500E4,1.355557543E-2
1.169531250E4,2.386438866E-3
1.171875000E4,1.626902068E-2
1.174218750E4,4.112756054E-2
1.176562500E4,1.235309687E-2
1.178906250E4,1.103560838E-2
1.181250000E4,5.607956642E-3
1.183593750E4,4.338300304E-3
1.185937500E4,1.430182701E-2
1.188281250E4,2.229288726E-3
1.190625000E4,4.766057855E-3
1.192968750E4,2.623275662E-2
1.195312500E4,6.864829189E-3
1.197656250E4,3.189591446E-3
1.200000000E4,4.889638460E-3
1.202343750E4,1.205463692E-2
1.204687500E4,6.475501273E-3
1.207031250E4,1.889745910E-2
1.209375000E4,2.390368782E-2
1.211718750E4,1.677317064E-2
1.214062500E4,8.161880251E-3
1.216406250E4,2.134167881E-3
1.218750000E4,5.075983273E-3
1.221093750E4,8.202822267E-3
1.223437500E4,7.304455736E-3
1.225781250E4,2.395645752E-3
1.228125000E4,6.399616358E-3
1.230468750E4,3.275912231E-4
1.232812500E4,8.651923234E-3
1.235156250E4,7.705970934E-3
1.237500000E4,4.592081115E-3
1.239843750E4,2.110500445E-3
1.242187500E4,2.278788984E-3
1.244531250E4,3.066052885E-3
1.246875000E4,4.740405671E-3
1.249218750E4,8.727711025E-3
1.251562500E4,4.497830959E-3
1.253906250E4,6.524782971E-3
1.256250000E4,2.652010414E-3
1.258593750E4,6.376594989E-3
1.260937500E4,7.041258831E-3
1.263281250E4,6.306495225E-3
1.265625000E4,9.211331035E-3
1.267968750E4,1.106926310E-2
1.270312500E4,1.044884288E-2
1.272656250E4,7.249621639E-3
1.275000000E4,4.519826422E-3
1.277343750E4,5.547464564E-3
1.279687500E4,4.101774703E-3
1.282031250E4,5.536133211E-3
1.284375000E4,7.602227608E-3
1.286718750E4,9.995167214E-3
1.289062500E4,7.442167661E-3
1.291406250E4,1.581276790E-3
1.293750000E4,5.574979447E-3
1.296093750E4,4.179831998E-3
1.298437500E4,5.515226490E-3
1.300781250E4,3.024349881E-3
1.303125000E4,5.796929059E-3
1.305468750E4,6.069935923E-3
1.307812500E4,5.172033106E-3
1.310156250E4,5.021837607E-3
1.312500000E4,1.648327101E-3
1.314843750E4,3.169979522E-3
1.317187500E4,9.277893737E-3
1.319531250E4,1.040276515E-3
1.321875000E4,6.956597021E-3
1.324218750E4,4.970186754E-3
1.326562500E4,8.910770270E-3
1.328906250E4,6.817612916E-3
1.331250000E4,3.779800996E-3
1.333593750E4,5.054110510E-3
1.335937500E4,8.784998836E-4
1.338281250E4,2.294738196E-3
1.340625000E4,4.272170324E-3
1.342968750E4,8.200162864E-3
1.345312500E4,8.028144720E-3
1.347656250E4,4.838497925E-3
1.350000000E4,4.991199289E-3
1.352343750E4,7.861977253E-3
1.354687500E4,7.660285816E-3
1.357031250E4,1.442907185E-3
1.359375000E4,1.026632325E-2
1.361718750E4,7.663460476E-3
1.364062500E4,7.888555608E-3
1.366406250E4,1.009391037E-2
